,日期,人数,页数,week
2664,2023-07-08,,3545,6
0,2023-05-28,662.11,2,7
1,2023-05-27,640.15,4,6
3,2023-05-26,1129.95,7,5
4,2023-05-25,1034.95,9,4
5,2023-05-24,1054.17,10,3
6,2023-05-23,1054.17,12,2
7,2023-05-22,1056.39,14,1
8,2023-05-21,660.18,16,7
10,2023-05-19,1134.92,23,5
11,2023-05-18,1066.37,25,4
12,2023-05-17,1064.50,27,3
13,2023-05-16,1053.45,29,2
14,2023-05-15,1070.88,30,1
15,2023-05-14,672.43,33,7
16,2023-05-13,772.16,35,6
17,2023-05-12,1155.80,40,5
18,2023-05-11,1081.65,42,4
20,2023-05-10,1092.35,45,3
21,2023-05-09,1078.69,48,2
22,2023-05-08,1074.33,51,1
23,2023-05-07,637.12,53,7
24,2023-05-06,1045.64,56,6
25,2023-05-05,1048.85,56,5
27,2023-05-04,1036.22,59,4
29,2023-05-03,682.5,63,3
30,2023-05-02,731.88,66,2
31,2023-05-01,781.65,70,1
32,2023-04-30,844.27,77,7
66,2023-04-29,872.19,87,6
67,2023-04-28,1236.33,99,5
71,2023-04-27,1131.97,114,4
72,2023-04-26,1130.22,117,3
74,2023-04-25,1111.91,122,2
75,2023-04-24,1084.21,125,1
76,2023-04-23,1052.39,127,7
77,2023-04-22,711.06,129,6
78,2023-04-21,1171.96,130,5
80,2023-04-20,1096.68,137,4
81,2023-04-19,1108.06,139,3
82,2023-04-18,1112.46,141,2
83,2023-04-17,1096.87,142,1
85,2023-04-16,751.19,144,7
86,2023-04-15,826.74,146,6
87,2023-04-14,1198.97,154,5
88,2023-04-13,1106.71,158,4
89,2023-04-12,1117.09,160,3
90,2023-04-11,1079.83,161,2
92,2023-04-10,1100.77,164,1
93,2023-04-09,721.17,166,7
94,2023-04-08,807.71,169,6
95,2023-04-07,1187.59,175,5
96,2023-04-06,1090.20,181,4
97,2023-04-05,639.26,183,3
98,2023-04-04,1078.84,186,2
99,2023-04-03,1060.12,190,1
100,2023-04-02,688.26,192,7
102,2023-04-01,822.27,197,6
103,2023-03-31,1187.77,204,5
104,2023-03-30,1086.06,212,4
105,2023-03-29,1088.82,213,3
106,2023-03-28,1084.03,216,2
108,2023-03-27,1084.71,220,1
109,2023-03-26,719.10,222,7
110,2023-03-25,761.41,227,6
111,2023-03-24,1152.63,230,5
113,2023-03-23,1062.67,236,4
114,2023-03-22,1036.96,239,3
115,2023-03-21,1059.52,241,2
116,2023-03-20,1062.92,242,1
118,2023-03-19,679.77,245,7
119,2023-03-18,774.25,250,6
120,2023-03-17,1124.75,251,5
122,2023-03-16,1045.78,262,4
123,2023-03-15,1039.56,264,3
124,2023-03-14,1031.88,266,2
125,2023-03-13,1024.28,268,1
126,2023-03-12,605.02,270,7
127,2023-03-11,650.70,274,6
128,2023-03-10,1093.70,276,5
129,2023-03-09,1016.48,280,4
130,2023-03-08,1071.84,284,3
131,2023-03-07,1031.28,287,2
132,2023-03-06,1033.05,289,1
133,2023-03-05,624.37,292,7
134,2023-03-04,712.65,294,6
135,2023-03-03,1121.76,299,5
137,2023-03-02,1045.69,310,4
138,2023-03-01,1058.78,313,3
139,2023-02-28,1059.66,316,2
140,2023-02-27,1059.37,318,1
141,2023-02-26,679.86,320,7
142,2023-02-25,777.16,324,6
143,2023-02-24,1178.10,332,5
144,2023-02-23,1085.26,346,4
145,2023-02-22,1082.41,350,3
146,2023-02-21,1076.31,353,2
147,2023-02-20,1078.1,356,1
148,2023-02-19,683.51,359,7
149,2023-02-18,666.42,363,6
150,2023-02-17,167.03,366,5
155,2023-02-16,1082.14,382,4
157,2023-02-15,1084.96,388,3
158,2023-02-14,1120.61,391,2
160,2023-02-13,1079.13,398,1
161,2023-02-12,543.27,402,7
162,2023-02-11,682.72,410,6
163,2023-02-10,1087.18,414,5
165,2023-02-09,1008.15,422,4
166,2023-02-08,1013.75,426,3
167,2023-02-07,997.20,430,2
169,2023-02-06,970.71,433,1
171,2023-02-05,551.63,436,7
172,2023-02-04,574.67,443,6
174,2023-02-03,963.53,449,5
175,2023-02-02,916.39,455,4
176,2023-02-01,903.30,460,3
177,2023-01-31,883.51,463,2
179,2023-01-30,820.83,465,1
180,2023-01-29,697.74,470,7
181,2023-01-28,634.71,478,6
182,2023-01-27,396.06,480,5
183,2023-01-26,352.38,487,4
184,2023-01-25,313.09,490,3
185,2023-01-24,256.95,494,2
186,2023-01-23,228.20,497,1
187,2023-01-22,195.48,499,7
188,2023-01-21,124.41,503,6
189,2023-01-20,329.86,507,5
190,2023-01-19,469.81,510,4
191,2023-01-18,602.8,513,3
192,2023-01-17,685.16,517,2
193,2023-01-16,714.72,520,1
194,2023-01-15,382.8,522,7
195,2023-01-14,426.72,525,6
196,2023-01-13,818.37,528,5
197,2023-01-12,795.93,530,4
198,2023-01-11,796.71,534,3
200,2023-01-10,799.49,538,2
201,2023-01-09,790.45,541,1
202,2023-01-08,383.17,544,7
203,2023-01-07,414.71,548,6
204,2023-01-06,769.14,551,5
205,2023-01-05,736.05,553,4
206,2023-01-04,727.48,555,3
207,2023-01-03,718.60,559,2
208,2023-01-02,334.75,562,1
209,2023-01-01,340.48,566,7
210,2022-12-31,372.37,567,6
211,2022-12-30,641.28,575,5
212,2022-12-29,603.15,577,4
213,2022-12-28,592.35,580,3
214,2022-12-27,577.30,583,2
215,2022-12-26,566.02,585,1
216,2022-12-25,240.44,587,7
217,2022-12-24,261.07,590,6
218,2022-12-23,409.21,591,5
219,2022-12-22,372.54,592,4
220,2022-12-21,349.06,595,3
221,2022-12-20,309.11,597,2
222,2022-12-19,278.62,598,1
223,2022-12-17,110.65,602,6
225,2022-12-09,301.94,617,5
226,2022-12-08,329.04,620,4
227,2022-12-07,330.27,623,3
228,2022-12-06,287.15,627,2
229,2022-12-05,285.65,630,1
230,2022-12-04,113.88,632,7
231,2022-12-03,124.38,637,6
232,2022-12-01,202.74,643,4
233,2022-11-30,197.05,647,3
234,2022-11-29,187.05,651,2
235,2022-11-28,174.18,653,1
236,2022-11-25,138.74,663,5
237,2022-11-24,177.31,667,4
240,2022-11-23,241.30,670,3
241,2022-11-22,310.96,672,2
242,2022-11-21,408.89,674,1
243,2022-11-20,189.06,677,7
244,2022-11-19,252.14,681,6
245,2022-11-18,690.04,683,5
246,2022-11-17,697.28,687,4
247,2022-11-16,719.69,690,3
248,2022-11-15,722.94,692,2
249,2022-11-14,736.63,695,1
250,2022-11-13,265.78,698,7
251,2022-11-12,280.58,701,6
252,2022-11-11,711.10,703,5
254,2022-11-10,722.16,708,4
255,2022-11-09,744.52,710,3
256,2022-11-08,762.21,713,2
257,2022-11-07,789.12,717,1
258,2022-11-06,339.12,719,7
259,2022-11-05,415.30,721,6
260,2022-11-04,859.91,725,5
261,2022-11-03,829.24,728,4
263,2022-11-02,829.24,729,3
265,2022-11-01,832.77,732,2
266,2022-10-31,829.20,734,1
267,2022-10-30,365.71,736,7
268,2022-10-29,433.56,738,6
270,2022-10-28,882.59,741,5
271,2022-10-27,841.00,745,4
272,2022-10-26,853.66,748,3
274,2022-10-25,858.73,751,2
275,2022-10-24,852.93,753,1
276,2022-10-23,395.11,755,7
277,2022-10-22,438.80,758,6
278,2022-10-21,855.92,761,5
279,2022-10-20,822.08,764,4
280,2022-10-19,822.08,767,3
282,2022-10-18,825.03,769,2
283,2022-10-17,823.34,771,1
284,2022-10-16,373.98,774,7
285,2022-10-15,419.80,776,6
286,2022-10-14,857.45,778,5
288,2022-10-13,826.64,781,4
289,2022-10-12,844.06,783,3
290,2022-10-11,844.61,785,2
291,2022-10-10,843.68,787,1
292,2022-10-09,795.43,789,7
293,2022-10-08,816.03,791,6
294,2022-10-07,426.98,794,5
295,2022-10-06,461.97,797,4
296,2022-10-05,466.78,800,3
297,2022-10-04,493.82,801,2
298,2022-10-03,397.02,804,1
299,2022-10-02,492.43,806,7
300,2022-10-01,557.11,809,6
301,2022-09-30,979.97,813,5
302,2022-09-29,937.24,822,4
305,2022-09-28,947.50,828,3
306,2022-09-27,952.48,831,2
307,2022-09-26,941.21,834,1
308,2022-09-25,489.29,836,7
310,2022-09-24,553.79,839,6
311,2022-09-23,983.44,841,5
312,2022-09-22,930.30,845,4
313,2022-09-21,930.48,847,3
314,2022-09-20,929.37,850,2
315,2022-09-19,907.81,852,1
316,2022-09-18,438.74,855,7
317,2022-09-17,502.49,858,6
318,2022-09-16,939.20,861,5
319,2022-09-15,900.57,864,4
320,2022-09-14,902.62,866,3
321,2022-09-13,887.77,869,2
322,2022-09-12,445.78,872,1
323,2022-09-11,465.02,875,7
324,2022-09-10,495.58,878,6
325,2022-09-09,995.55,881,5
326,2022-09-08,920.97,887,4
327,2022-09-07,922.48,890,3
328,2022-09-06,922.48,893,2
329,2022-09-05,917.44,895,1
330,2022-09-04,448.12,897,7
331,2022-09-03,503.35,901,6
332,2022-09-02,940.65,903,5
334,2022-09-01,916.63,906,4
335,2022-08-31,915.72,909,3
336,2022-08-30,926.33,913,2
337,2022-08-29,916.71,915,1
338,2022-08-28,474.27,918,7
339,2022-08-27,565.71,923,6
340,2022-08-26,958.12,926,5
341,2022-08-25,933.26,930,4
342,2022-08-24,934.45,933,3
343,2022-08-23,941.11,936,2
344,2022-08-22,928.36,939,1
345,2022-08-21,482.28,943,7
346,2022-08-20,559.56,946,6
347,2022-08-19,973.09,948,5
348,2022-08-18,904.62,952,4
349,2022-08-17,950.77,956,3
350,2022-08-16,958.75,959,2
351,2022-08-15,945.41,962,1
352,2022-08-14,443.03,965,7
353,2022-08-13,557.46,969,6
354,2022-08-12,953.43,972,5
355,2022-08-11,938.27,976,4
356,2022-08-10,943.55,979,3
357,2022-08-09,942.68,982,2
358,2022-08-08,914.07,985,1
359,2022-08-07,465.06,989,7
360,2022-08-06,496.92,993,6
361,2022-08-05,944.03,996,5
362,2022-08-04,943.10,1001,4
363,2022-08-03,919.89,1006,3
364,2022-08-02,927.68,1010,2
365,2022-08-01,925.52,1013,1
366,2022-07-31,501.31,1017,7
367,2022-07-30,547.55,1022,6
368,2022-07-29,961.25,1026,5
369,2022-07-28,921.91,1032,4
370,2022-07-27,908.01,1035,3
372,2022-07-26,913.73,1038,2
373,2022-07-25,899.69,1041,1
374,2022-07-24,455.84,1044,7
376,2022-07-23,506.13,1048,6
377,2022-07-22,928.97,1050,5
380,2022-07-21,896.68,1056,4
381,2022-07-20,899.69,1059,3
382,2022-07-19,901.05,1062,2
383,2022-07-18,891.29,1065,1
384,2022-07-17,437.81,1069,7
385,2022-07-16,487.85,1073,6
386,2022-07-15,917.56,1076,5
387,2022-07-14,894.03,1079,4
388,2022-07-13,898.10,1084,3
389,2022-07-12,887.56,1087,2
391,2022-07-11,876.52,1089,1
394,2022-07-10,405.23,1094,7
395,2022-07-09,445.96,1098,6
396,2022-07-08,890.72,1100,5
398,2022-07-07,859.04,1106,4
401,2022-07-06,853.75,1110,3
402,2022-07-05,850.73,1114,2
403,2022-07-04,844.46,1116,1
406,2022-07-03,311.02,1121,7
409,2022-07-02,391.50,1127,6
408,2022-07-01,841.79,1125,5
411,2022-06-30,795.24,1136,4
412,2022-06-29,787.15,1140,3
413,2022-06-28,765.86,1146,2
414,2022-06-27,745.62,1150,1
415,2022-06-25,295.99,1158,6
416,2022-06-24,690.75,1159,5
418,2022-06-23,673.92,1167,4
419,2022-06-22,675.94,1171,3
420,2022-06-21,676.58,1176,2
421,2022-06-20,673.59,1178,1
422,2022-06-17,607.86,1191,5
423,2022-06-16,593.66,1195,4
424,2022-06-15,588.82,1200,3
425,2022-06-14,577.35,1203,2
426,2022-06-13,582.96,1205,1
427,2022-06-10,610.14,1215,5
428,2022-06-09,609.45,1218,4
429,2022-06-08,531.68,1220,3
430,2022-06-07,507.95,1223,2
431,2022-06-06,451.31,1227,1
433,2022-05-12,303.90,1304,4
434,2022-05-11,332.16,1306,3
437,2022-05-10,338.58,1309,2
438,2022-05-09,368.98,1312,1
439,2022-05-07,349.17,1318,6
440,2022-05-06,364.49,1321,5
441,2022-05-05,386.71,1324,4
442,2022-05-04,160.69,1326,3
443,2022-05-03,184.16,1330,2
444,2022-05-02,191.13,1334,1
224,2022-05-01,196.30,603,7
446,2022-04-30,235.12,1341,6
447,2022-04-29,632.72,1345,5
449,2022-04-28,671.99,1352,4
450,2022-04-27,719.86,1356,3
451,2022-04-26,741.20,1359,2
452,2022-04-25,801.45,1362,1
453,2022-04-24,800.51,1364,7
454,2022-04-23,410.57,1366,6
455,2022-04-22,970.13,1369,5
457,2022-04-21,919.21,1374,4
458,2022-04-20,940.49,1377,3
459,2022-04-19,930.31,1381,2
460,2022-04-18,928.89,1383,1
461,2022-04-17,416.61,1386,7
462,2022-04-16,497.26,1390,6
463,2022-04-15,942.67,1392,5
465,2022-04-14,906.97,1395,4
466,2022-04-13,905.96,1399,3
467,2022-04-12,894.17,1403,2
468,2022-04-11,892.25,1407,1
469,2022-04-10,373.40,1409,7
470,2022-04-09,439.06,1413,6
471,2022-04-08,926.00,1415,5
474,2022-04-07,906.70,1418,4
475,2022-04-06,907.87,1421,3
476,2022-04-05,402.84,1423,2
477,2022-04-04,508.54,1428,1
478,2022-04-03,535.11,1430,7
479,2022-04-02,898.92,1434,6
481,2022-04-01,907.00,1439,5
482,2022-03-31,905.80,1442,4
483,2022-03-30,898.45,1446,3
484,2022-03-29,876.81,1450,2
486,2022-03-28,887.57,1454,1
487,2022-03-27,393.35,1458,7
489,2022-03-26,440.58,1461,6
490,2022-03-25,877.07,1463,5
491,2022-03-24,851.90,1467,4
492,2022-03-23,863.69,1470,3
493,2022-03-22,856.68,1472,2
495,2022-03-21,863.20,1474,1
497,2022-03-20,350.60,1477,7
498,2022-03-19,387.45,1482,6
499,2022-03-18,879.22,1484,5
500,2022-03-17,845.45,1488,4
501,2022-03-16,871.10,1492,3
502,2022-03-15,877.08,1496,2
503,2022-03-14,898.44,1500,1
504,2022-03-13,406.41,1504,7
506,2022-03-12,473.25,1509,6
507,2022-03-11,979.98,1512,5
510,2022-03-10,974.15,1517,4
511,2022-03-09,974.15,1520,3
513,2022-03-08,1029.40,1522,2
516,2022-03-07,1000.09,1526,1
518,2022-03-06,485.59,1529,7
520,2022-03-05,555.45,1533,6
522,2022-03-04,1019.96,1536,5
525,2022-03-03,983.32,1542,4
527,2022-03-02,987.06,1546,3
528,2022-03-01,983.57,1548,2
529,2022-02-28,971.82,1550,1
531,2022-02-27,466.69,1555,7
532,2022-02-26,528.16,1558,6
533,2022-02-25,1003.44,1560,5
537,2022-02-24,962.32,1565,4
538,2022-02-23,978.63,1568,3
539,2022-02-22,996.16,1572,2
540,2022-02-21,993.69,1576,1
541,2022-02-20,451.15,1579,7
542,2022-02-19,508.70,1582,6
543,2022-02-18,980.52,1584,5
549,2022-02-17,943.17,1587,4
550,2022-02-16,949.26,1591,3
551,2022-02-15,925.40,1594,2
552,2022-02-14,947.52,1600,1
554,2022-02-13,423.22,1603,7
555,2022-02-12,431.48,1608,6
556,2022-02-11,869.09,1610,5
557,2022-02-10,839.30,1613,4
558,2022-02-09,807.33,1616,3
559,2022-02-08,763.27,1618,2
560,2022-02-07,683.97,1620,1
561,2022-02-06,331.47,1623,7
563,2022-02-05,284.93,1626,6
564,2022-02-04,246.18,1629,5
565,2022-02-03,258.68,1632,4
566,2022-02-02,242.05,1634,3
567,2022-02-01,192.33,1636,2
568,2022-01-31,159.25,1638,1
570,2022-01-30,373.74,1642,7
572,2022-01-29,488.18,1646,6
573,2022-01-28,622.68,1648,5
575,2022-01-27,680.32,1651,4
576,2022-01-26,724.13,1653,3
578,2022-01-25,759.55,1656,2
579,2022-01-24,777.04,1659,1
580,2022-01-23,325.10,1664,7
581,2022-01-22,421.82,1666,6
583,2022-01-21,892.62,1670,5
584,2022-01-20,889.33,1672,4
586,2022-01-19,885.64,1678,3
587,2022-01-18,908.33,1681,2
588,2022-01-17,909.59,1683,1
589,2022-01-16,392.47,1687,7
590,2022-01-15,530.25,1691,6
591,2022-01-14,1008.49,1694,5
592,2022-01-13,975.41,1696,4
593,2022-01-12,977.14,1700,3
594,2022-01-11,981.45,1702,2
595,2022-01-10,987.21,1705,1
596,2022-01-09,452.22,1708,7
597,2022-01-08,540.10,1712,6
598,2022-01-07,1045.00,1714,5
599,2022-01-06,1007.41,1719,4
600,2022-01-05,1009.04,1722,3
601,2022-01-04,1014.02,1724,2
602,2022-01-03,513.88,1727,1
604,2022-01-02,516.33,1729,7
435,2022-01-01,694.20,1307,6
606,2021-12-31,1130.13,1734,5
610,2021-12-30,1009.09,1740,4
611,2021-12-29,1006.81,1751,3
612,2021-12-28,1004.83,1757,2
614,2021-12-27,1001.65,1761,1
615,2021-12-26,468.97,1766,7
617,2021-12-25,544.16,1769,6
616,2021-12-24,1071.54,1767,5
620,2021-12-23,987.35,1781,4
621,2021-12-22,996.58,1784,3
623,2021-12-21,999.14,1788,2
624,2021-12-20,996.90,1790,1
625,2021-12-19,483.42,1793,7
626,2021-12-18,532.08,1794,6
628,2021-12-17,1036.17,1798,5
629,2021-12-16,984.93,1802,4
630,2021-12-15,990.24,1805,3
632,2021-12-14,988.89,1809,2
633,2021-12-13,989.70,1811,1
634,2021-12-12,474.78,1813,7
636,2021-12-11,540.75,1817,6
637,2021-12-10,1030.59,1820,5
638,2021-12-09,971.28,1824,4
639,2021-12-08,977.50,1827,3
640,2021-12-07,981.00,1830,2
641,2021-12-06,982.05,1832,1
642,2021-12-05,467.95,1835,7
644,2021-12-04,525.96,1839,6
646,2021-12-03,1022.72,1843,5
648,2021-12-02,977.98,1847,4
647,2021-12-01,979.37,1846,3
650,2021-11-30,970.86,1853,2
651,2021-11-29,970.07,1855,1
652,2021-11-28,459.05,1857,7
654,2021-11-27,514.51,1861,6
655,2021-11-26,1010.96,1865,5
656,2021-11-25,959.14,1870,4
657,2021-11-24,958.75,1871,3
659,2021-11-23,953.62,1876,2
660,2021-11-22,941.80,1878,1
663,2021-11-21,394.28,1881,7
662,2021-11-20,463.57,1881,6
666,2021-11-19,969.54,1885,5
668,2021-11-18,925.03,1889,4
670,2021-11-17,918.27,1893,3
673,2021-11-16,922.10,1897,2
676,2021-11-15,919.73,1899,1
677,2021-11-14,382.15,1902,7
678,2021-11-13,425.63,1904,6
679,2021-11-12,936.71,1905,5
681,2021-11-11,921.22,1909,4
682,2021-11-10,939.89,1912,3
683,2021-11-09,939.38,1914,2
685,2021-11-08,946.03,1917,1
687,2021-11-07,383.10,1920,7
689,2021-11-06,363.02,1924,6
691,2021-11-05,940.60,1927,5
693,2021-11-04,899.52,1932,4
694,2021-11-03,902.52,1934,3
696,2021-11-02,903.54,1936,2
698,2021-11-01,922.96,1941,1
699,2021-10-31,413.91,1945,7
700,2021-10-30,457.43,1948,6
702,2021-10-29,953.61,1950,5
704,2021-10-28,927.76,1956,4
705,2021-10-27,939.42,1958,3
707,2021-10-26,944.16,1962,2
708,2021-10-25,960.40,1963,1
710,2021-10-24,482.81,1966,7
712,2021-10-23,550.22,1970,6
713,2021-10-22,1081.44,1974,5
716,2021-10-21,1038.58,1978,4
717,2021-10-20,1052.75,1980,3
718,2021-10-19,1073.16,1983,2
719,2021-10-18,1083.45,1986,1
721,2021-10-17,622.50,1989,7
722,2021-10-16,661.65,1992,6
723,2021-10-15,1134.80,1995,5
725,2021-10-14,1056.55,1998,4
726,2021-10-13,1057.46,2000,3
727,2021-10-12,1066.00,2002,2
729,2021-10-11,1070.88,2006,1
730,2021-10-10,573.63,2007,7
732,2021-10-09,995.31,2010,6
733,2021-10-08,1008.43,2011,5
736,2021-10-07,614.72,2015,4
738,2021-10-06,477.03,2017,3
739,2021-10-05,498.16,2020,2
741,2021-10-04,470.42,2024,1
742,2021-10-03,494.69,2025,7
744,2021-10-02,573.42,2029,6
745,2021-10-01,689.87,2029,5
747,2021-09-30,1115.19,2035,4
751,2021-09-29,1057.30,2047,3
